# Based on IANA (Ver: tzdata2018g)
# I18NOK:FileNotLocalizable
#
# sas_historictimezone.txt
# zone
# tzid;format;offset;save;mode;untilYear;untilMonth;untilDay;untilDOW;untilTime;timeType

America/Belem;-03;-10800;0;1;3999;1;1;-1;0;0
America/Belem;-03/-02;-10800;Brazil;1;1988;9;12;-1;0;0
America/Belem;LMT;-11636;0;1;1914;1;1;-1;0;0
America/Belize;%s;-21600;Belize;1;3999;1;1;-1;0;0
America/Belize;LMT;-21168;0;1;1912;4;1;-1;0;0
America/Blanc-Sablon;AST;-14400;0;1;3999;1;1;-1;0;0
America/Blanc-Sablon;A%sT;-14400;Canada;1;1970;1;1;-1;0;0
America/Blanc-Sablon;LMT;-13708;0;1;1884;1;1;-1;0;0
America/Boa_Vista;-04;-14400;0;1;3999;1;1;-1;0;0
America/Boa_Vista;-04/-03;-14400;Brazil;1;2000;10;15;-1;0;0
America/Boa_Vista;-04;-14400;0;1;1999;9;30;-1;0;0
America/Boa_Vista;-04/-03;-14400;Brazil;1;1988;9;12;-1;0;0
America/Boa_Vista;LMT;-14560;0;1;1914;1;1;-1;0;0
America/Bogota;-05/-04;-18000;CO;1;3999;1;1;-1;0;0
America/Bogota;BMT;-17776;0;1;1914;11;23;-1;0;0
America/Bogota;LMT;-17776;0;1;1884;3;13;-1;0;0
America/Boise;M%sT;-25200;US;1;3999;1;1;-1;0;0
America/Boise;MST;-25200;0;1;1974;2;3;-1;7200;0
America/Boise;M%sT;-25200;US;1;1974;1;1;-1;0;0
America/Boise;P%sT;-28800;US;1;1923;5;13;-1;7200;0
America/Boise;LMT;-27889;0;1;1883;11;18;-1;44111;0
America/Buenos_Aires;-03/-02;-10800;Arg;1;3999;1;1;-1;0;0
America/Buenos_Aires;-04/-03;-14400;Arg;1;2000;3;3;-1;0;0
America/Buenos_Aires;-03/-02;-10800;Arg;1;1999;10;3;-1;0;0
America/Buenos_Aires;-04/-03;-14400;Arg;1;1969;10;5;-1;0;0
America/Buenos_Aires;-04;-14400;0;1;1930;12;1;-1;0;0
America/Buenos_Aires;CMT;-15408;0;1;1920;5;1;-1;0;0
America/Buenos_Aires;LMT;-14028;0;1;1894;10;31;-1;0;0
America/Cambridge_Bay;M%sT;-25200;Canada;1;3999;1;1;-1;0;0
America/Cambridge_Bay;CST;-21600;0;1;2001;4;1;-1;10800;0
America/Cambridge_Bay;EST;-18000;0;1;2000;11;5;-1;0;0
America/Cambridge_Bay;C%sT;-21600;Canada;1;2000;10;29;-1;7200;0
America/Cambridge_Bay;M%sT;-25200;NT_YK;1;1999;10;31;-1;7200;0
America/Cambridge_Bay;-00;0;0;1;1920;1;1;-1;0;0
America/Campo_Grande;-04/-03;-14400;Brazil;1;3999;1;1;-1;0;0
America/Campo_Grande;LMT;-13108;0;1;1914;1;1;-1;0;0
America/Cancun;EST;-18000;0;1;3999;1;1;-1;0;0
America/Cancun;C%sT;-21600;Mexico;1;2015;2;1;-1;7200;0
America/Cancun;E%sT;-18000;Mexico;1;1998;8;2;-1;7200;0
America/Cancun;CST;-21600;0;1;1981;12;23;-1;0;0
America/Cancun;LMT;-20824;0;1;1922;1;1;-1;776;0
