# Based on IANA (Ver: tzdata2018g)
# I18NOK:FileNotLocalizable
#
# sas_saving.txt
# saving;from;to;dstmode;dstmonth;dstday;dstDOW;dstseconds;dsttimeType;dstoffset;dstletter;mode;month;day;DOW;seconds;timeType;letter

Chatham;1974;1974;3;11;1;1;9900;2;3600;$;0;0;0;0;0;0;$
Chicago;1955;1966;2;4;-1;1;7200;0;3600;D;2;10;-1;1;7200;0;S
Chicago;1922;1954;2;4;-1;1;7200;0;3600;D;2;9;-1;1;7200;0;S
Chicago;1921;1921;2;3;-1;1;7200;0;3600;D;2;10;-1;1;7200;0;S
Chicago;1920;1920;1;6;13;-1;7200;0;3600;D;2;10;-1;1;7200;0;S
Chile;2019;3999;3;9;2;1;14400;1;3600;$;3;4;2;1;10800;1;$
Chile;2016;2018;3;8;9;1;14400;1;3600;$;3;5;9;1;10800;1;$
Chile;2012;2014;3;9;2;1;14400;1;3600;$;3;4;23;1;10800;1;$
Chile;2011;2011;3;8;16;1;14400;1;3600;$;3;5;2;1;10800;1;$
Chile;2010;2010;3;10;9;1;14400;1;3600;$;3;4;1;1;10800;1;$
Chile;2009;2009;3;10;9;1;14400;1;3600;$;3;3;9;1;10800;1;$
Chile;2008;2008;3;10;9;1;14400;1;3600;$;1;3;30;-1;10800;1;$
Chile;2000;2007;3;10;9;1;14400;1;3600;$;3;3;9;1;10800;1;$
Chile;1999;1999;3;10;9;1;14400;1;3600;$;1;4;4;-1;10800;1;$
Chile;1998;1998;1;9;27;-1;14400;1;3600;$;3;3;9;1;10800;1;$
Chile;1997;1997;3;10;9;1;14400;1;3600;$;1;3;30;-1;10800;1;$
Chile;1991;1996;3;10;9;1;14400;1;3600;$;3;3;9;1;10800;1;$
Chile;1990;1990;1;9;16;-1;14400;1;3600;$;3;3;9;1;10800;1;$
Chile;1988;1989;3;10;9;1;14400;1;3600;$;3;3;9;1;10800;1;$
Chile;1987;1987;3;10;9;1;14400;1;3600;$;1;4;12;-1;10800;1;$
Chile;1974;1986;3;10;9;1;14400;1;3600;$;3;3;9;1;10800;1;$
Chile;1973;1973;1;9;30;-1;14400;1;3600;$;3;3;9;1;10800;1;$
Chile;1972;1972;3;10;9;1;14400;1;3600;$;3;3;9;1;10800;1;$
Chile;1971;1971;3;10;9;1;14400;1;3600;$;1;3;14;-1;10800;1;$
Chile;1970;1970;3;10;9;1;14400;1;3600;$;1;3;29;-1;10800;1;$
Chile;1969;1969;1;11;23;-1;14400;1;3600;$;1;3;30;-1;10800;1;$
Chile;1968;1968;1;11;3;-1;14400;1;3600;$;0;0;0;0;0;0;$
Chile;1932;1932;0;0;0;0;0;0;0;$;1;4;1;-1;0;0;$
Chile;1928;1931;1;9;1;-1;0;0;3600;$;1;4;1;-1;0;0;$
Chile;1927;1927;1;9;1;-1;0;0;3600;$;0;0;0;0;0;0;$
Cook;1991;1991;0;0;0;0;0;0;0;$;3;3;1;1;0;0;$
Cook;1979;1990;2;10;-1;1;0;0;1800;$;3;3;1;1;0;0;$
Cook;1978;1978;1;11;12;-1;0;0;1800;$;0;0;0;0;0;0;$
Cuba;2013;3999;3;3;8;1;0;2;3600;D;3;11;1;1;0;2;S
Cuba;2012;2012;1;4;1;-1;0;2;3600;D;3;11;1;1;0;2;S
Cuba;2011;2011;3;3;15;1;0;2;3600;D;1;11;13;-1;0;2;S
Cuba;2009;2010;3;3;8;1;0;2;3600;D;2;10;-1;1;0;2;S
Cuba;2008;2008;0;0;0;0;0;0;0;$;2;10;-1;1;0;2;S
Cuba;2008;2008;3;3;15;1;0;2;3600;D;0;0;0;0;0;0;$
Cuba;2007;2007;3;3;8;1;0;2;3600;D;2;10;-1;1;0;2;S
Cuba;2006;2006;0;0;0;0;0;0;0;$;2;10;-1;1;0;2;S
Cuba;2004;2004;2;3;-1;1;0;2;3600;D;0;0;0;0;0;0;$
Cuba;2000;2003;3;4;1;1;0;2;3600;D;2;10;-1;1;0;2;S
Cuba;1998;1999;2;3;-1;1;0;2;3600;D;2;10;-1;1;0;2;S
Cuba;1997;1997;3;4;1;1;0;0;3600;D;1;10;12;-1;0;2;S
Cuba;1996;1996;3;4;1;1;0;0;3600;D;1;10;6;-1;0;2;S
Cuba;1991;1995;3;4;1;1;0;0;3600;D;3;10;8;1;0;2;S
Cuba;1990;1990;3;4;1;1;0;0;3600;D;3;10;8;1;0;0;S
Cuba;1986;1989;3;3;14;1;0;0;3600;D;3;10;8;1;0;0;S
Cuba;1981;1985;3;5;5;1;0;0;3600;D;3;10;8;1;0;0;S
Cuba;1979;1980;3;3;15;1;0;0;3600;D;3;10;8;1;0;0;S
Cuba;1978;1978;1;5;7;-1;0;0;3600;D;3;10;8;1;0;0;S
